Date,Workout,Result,Prescribed,Pukie,Work performed,Work time,Formatted Result,Notes,Description
2016-02-10,Every 30 mins for 360 mins: Push Press,952.543977,true,false,4171,360000,2100 lbs,"","Every 30 secs for 6 mins:
1 Push Press | 175 lbs
1 Push Press | 175 lbs
1 Push Press | 175 lbs
1 Push Press | 175 lbs
1 Push Press | 175 lbs
1 Push Press | 175 lbs
1 Push Press | 175 lbs
1 Push Press | 175 lbs
1 Push Press | 175 lbs
1 Push Press | 175 lbs
1 Push Press | 175 lbs
1 Push Press | 175 lbs"
2016-02-07,"FT: Kettlebell Swings, Push Press, Toes-to-bars, and 19 more",720000,true,false,39214,720000,12 mins,"","2 Kettlebell Swings, 53 lbs
2 Push Press, 95 lbs
2 Toes-to-bars
4 Kettlebell Swings, 53 lbs
4 Push Press, 95 lbs
4 Toes-to-bars
6 Kettlebell Swings, 53 lbs
6 Push Press, 95 lbs
6 Toes-to-bars
8 Kettlebell Swings, 53 lbs
8 Push Press, 95 lbs
8 Toes-to-bars
10 Kettlebell Swings, 53 lbs
10 Push Press, 95 lbs
10 Toes-to-bars
12 Kettlebell Swings, 53 lbs
12 Push Press, 95 lbs
12 Toes-to-bars
14 Kettlebell Swings, 53 lbs
14 Push Press, 95 lbs
14 Toes-to-bars
16 Push Press, 95 lbs"
2016-02-07,Deadlift 10-5-5-5-3-3-3,3746.6729762,true,false,23200,,"8260 lbs | 135 lbs, 205 lbs, 255 lbs, 295 lbs, 325 lbs, 345 lbs, and 375 lbs","","Sets
10 Deadlifts | 135 lbs
5 Deadlifts | 205 lbs
5 Deadlifts | 255 lbs
5 Deadlifts | 295 lbs
3 Deadlifts | 325 lbs
3 Deadlifts | 345 lbs
3 Deadlifts | 375 lbs"
2016-02-05,Nancy,930000,true,false,93691,930000,15 mins 30 secs,"","5 rounds of:
Run, 400 m
15 Overhead Squats, 95 lbs"
2016-02-03,"3 RFT: Plate Pushes, Ring Dips, Box Jump (24 In.)s, and 6 more",402000,true,false,84513,402000,6 mins 42 secs,"","3 rounds of:
Plate Push, 45 lbs, 75 ft
15 Ring Dips
15 Box Jump (24 In.)s
Plate Push, 45 lbs, 75 ft
12 Ring Dips
12 Box Jump (24 In.)s
Plate Push, 45 lbs, 75 ft
9 Ring Dips
9 Box Jump (24 In.)s"
2016-02-03,Single Arm Db Bent Over Row 10-10-10-10,1542.214058,true,false,0,,"3400 lbs | 85 lbs, 85 lbs, 85 lbs, and 85 lbs","","Sets
10 Single Arm Db Bent Over Rows | 85 lbs
10 Single Arm Db Bent Over Rows | 85 lbs
10 Single Arm Db Bent Over Rows | 85 lbs
10 Single Arm Db Bent Over Rows | 85 lbs"
2016-02-03,Split Jerk 3-3-3-3-3-3,1170.2683146,true,false,5124,,"2580 lbs | 85 lbs, 115 lbs, 135 lbs, 155 lbs, 175 lbs, and 195 lbs",Being easy on knee,"Sets
3 Split Jerks | 85 lbs
3 Split Jerks | 115 lbs
3 Split Jerks | 135 lbs
3 Split Jerks | 155 lbs
3 Split Jerks | 175 lbs
3 Split Jerks | 195 lbs"
2016-02-02,Strict Press 5-5-5-5-3-3-1,1181.60812385,true,false,5174,,"2605 lbs | 65 lbs, 75 lbs, 95 lbs, 115 lbs, 115 lbs, 125 lbs, and 135 lbs","","Sets
5 Strict Press | 65 lbs
5 Strict Press | 75 lbs
5 Strict Press | 95 lbs
5 Strict Press | 115 lbs
3 Strict Press | 115 lbs
3 Strict Press | 125 lbs
1 Strict Press | 135 lbs"
2016-02-01,"AMRAP 16 mins: Deadlifts, Burpees, and 200 m",9.0,true,false,108245,960000,9 rounds,"","16:00 AMRAP:
3 Deadlifts, 225 lbs
6 Burpees
Run, 200 m"
2016-01-31,Back Squat 5-5-5-5-1-1-1-1,1823.4413274,true,false,13963,,"4020 lbs | 45 lbs, 135 lbs, 185 lbs, 215 lbs, 245 lbs, 275 lbs, 295 lbs, and 305 lbs","","Sets
5 Back Squats | 45 lbs
5 Back Squats | 135 lbs
5 Back Squats | 185 lbs
5 Back Squats | 215 lbs
1 Back Squat | 245 lbs
1 Back Squat | 275 lbs
1 Back Squat | 295 lbs
1 Back Squat | 305 lbs"
2016-01-30,"Chipper: 400 m, Kettlebell Swings, Box Jumps, and 5 more",878000,true,false,85847,878000,14 mins 38 secs,"","Run, 400 m
30 Kettlebell Swings, 53 lbs
30 Box Jumps, 24 in
30 Push-ups
30 Air Squats
30 Sit-ups
30 Ring Dips
Run, 400 m"
2016-01-30,2010 Northwest Regional Event 1,329000,true,false,31056,329000,5 mins 29 secs,"","3 rounds of:
10 Overhead Squats, 135 lbs
50 Double Unders"
2016-01-29,Squat Snatch 1 Rep,88.45051215,true,false,1507,,195 lbs | 195 lbs,"","Sets
1 Squat Snatch | 195 lbs"
2016-01-29,Snatch 1 Rep,88.45051215,true,false,1507,,195 lbs | 195 lbs,"","Sets
1 Snatch | 195 lbs"
2016-01-29,Squat Snatch 1-1-1-1-1-1-1-1-1,632.76135615,true,false,11436,,"1395 lbs | 115 lbs, 125 lbs, 135 lbs, 145 lbs, 155 lbs, 165 lbs, 175 lbs, 185 lbs, and 195 lbs","","Sets
1 Squat Snatch | 115 lbs
1 Squat Snatch | 125 lbs
1 Squat Snatch | 135 lbs
1 Squat Snatch | 145 lbs
1 Squat Snatch | 155 lbs
1 Squat Snatch | 165 lbs
1 Squat Snatch | 175 lbs
1 Squat Snatch | 185 lbs
1 Squat Snatch | 195 lbs"
2016-01-29,"3 RFT: 300 m, Kettlebell Swings, Sit-up (medicine ball)s, and 6 more",535000,true,false,128345,535000,8 mins 55 secs,"","3 rounds of:
Run, 300 m
20 Kettlebell Swings, 53 lbs
20 Sit-up (medicine ball)s, 20 lbs
Run, 300 m
20 Hug A Twinkies
20 Toes-to-bars
Run, 300 m
20 Good Mornings, 45 lbs
20 V-ups"
